Species,Population,Year,Altitude
S,1769,2045,625
S,31,2045,675
S,28,2045,725
S,272,2045,775
S,198,2045,825
S,14,2045,875
S,542,2045,925
S,521,2045,975
S,29,2045,1025
S,48,2045,1075
S,18,2045,1125
S,173,2045,1175
S,45,2045,1225
S,4,2045,1275
S,4,2045,1325
S,0,2045,1375
S,0,2045,1425
S,72,2045,1475
S,56,2045,1525
S,0,2045,1575
S,0,2045,1625
S,0,2045,1675
S,0,2045,1725
S,0,2045,1775
S,0,2045,1825
S,0,2045,1875
S,0,2045,1925
S,0,2045,1975
S,0,2046,225
S,2,2046,275
S,216,2046,325
S,63,2046,375
S,37,2046,425
S,740,2046,475
S,4780,2046,525
S,1654,2046,575
S,1742,2046,625
S,31,2046,675
S,28,2046,725
S,268,2046,775
S,209,2046,825
S,13,2046,875
S,548,2046,925
S,524,2046,975
S,32,2046,1025
S,43,2046,1075
S,17,2046,1125
S,179,2046,1175
S,47,2046,1225
S,5,2046,1275
S,5,2046,1325
S,0,2046,1375
S,0,2046,1425
S,80,2046,1475
S,62,2046,1525
S,0,2046,1575
S,0,2046,1625
S,0,2046,1675
S,0,2046,1725
S,0,2046,1775
S,0,2046,1825
S,0,2046,1875
S,0,2046,1925
S,0,2046,1975
S,0,2047,225
S,2,2047,275
S,213,2047,325
S,64,2047,375
S,41,2047,425
S,739,2047,475
S,4770,2047,525
S,1660,2047,575
S,1734,2047,625
S,30,2047,675
S,24,2047,725
S,279,2047,775
S,199,2047,825
S,14,2047,875
S,544,2047,925
S,526,2047,975
S,34,2047,1025
S,45,2047,1075
S,16,2047,1125
S,175,2047,1175
S,52,2047,1225
S,5,2047,1275
S,6,2047,1325
S,0,2047,1375
S,0,2047,1425
S,78,2047,1475
S,61,2047,1525
S,0,2047,1575
S,0,2047,1625
S,0,2047,1675
S,0,2047,1725
S,0,2047,1775
S,0,2047,1825
S,0,2047,1875
S,0,2047,1925
S,0,2047,1975
S,0,2048,225
S,2,2048,275
S,214,2048,325
S,69,2048,375
S,38,2048,425
S,734,2048,475
S,4784,2048,525
S,1668,2048,575
S,1729,2048,625
S,31,2048,675
S,26,2048,725
S,274,2048,775
S,220,2048,825
S,17,2048,875
S,526,2048,925
S,530,2048,975
S,36,2048,1025
S,46,2048,1075
S,15,2048,1125
S,159,2048,1175
S,51,2048,1225
S,6,2048,1275
S,6,2048,1325
S,0,2048,1375
S,0,2048,1425
S,80,2048,1475
S,60,2048,1525
S,0,2048,1575
S,0,2048,1625
S,0,2048,1675
S,0,2048,1725
S,0,2048,1775
S,0,2048,1825
S,0,2048,1875
S,0,2048,1925
S,0,2048,1975
S,0,2049,225
S,2,2049,275
S,211,2049,325
S,68,2049,375
S,36,2049,425
S,760,2049,475
S,4771,2049,525
S,1695,2049,575
S,1737,2049,625
S,36,2049,675
S,23,2049,725
S,266,2049,775
S,219,2049,825
S,16,2049,875
S,514,2049,925
S,531,2049,975
S,36,2049,1025
S,48,2049,1075
S,17,2049,1125
S,155,2049,1175
S,49,2049,1225
S,6,2049,1275
S,6,2049,1325
S,0,2049,1375
S,0,2049,1425
S,79,2049,1475
S,60,2049,1525
S,0,2049,1575
S,0,2049,1625
S,0,2049,1675
S,0,2049,1725
S,0,2049,1775
S,0,2049,1825
S,0,2049,1875
S,0,2049,1925
S,0,2049,1975
S,0,2050,225
S,2,2050,275
S,222,2050,325
S,70,2050,375
S,40,2050,425
S,759,2050,475
S,4742,2050,525
S,1693,2050,575
S,1718,2050,625
S,37,2050,675
S,31,2050,725
S,272,2050,775
S,221,2050,825
S,14,2050,875
S,508,2050,925
S,525,2050,975
S,37,2050,1025
S,53,2050,1075
S,16,2050,1125
S,152,2050,1175
S,52,2050,1225
S,6,2050,1275
S,7,2050,1325
S,0,2050,1375
S,0,2050,1425
S,78,2050,1475
S,65,2050,1525
S,0,2050,1575
S,0,2050,1625
S,0,2050,1675
S,0,2050,1725
S,0,2050,1775
S,0,2050,1825
S,0,2050,1875
S,0,2050,1925
S,0,2050,1975
S,0,2051,225
S,1,2051,275
S,223,2051,325
S,70,2051,375
S,42,2051,425
S,765,2051,475
S,4771,2051,525
S,1651,2051,575
S,1754,2051,625
S,42,2051,675
S,30,2051,725
S,260,2051,775
S,228,2051,825
S,13,2051,875
S,519,2051,925
S,516,2051,975
S,38,2051,1025
S,59,2051,1075
S,20,2051,1125
S,156,2051,1175
S,53,2051,1225
S,6,2051,1275
S,6,2051,1325
S,0,2051,1375
S,0,2051,1425
S,73,2051,1475
S,65,2051,1525
S,0,2051,1575
