Species,Year,Population
N_148kg,2035,453.4350676536415
N_148kg,2036,485.66738918506957
N_148kg,2037,515.7559326876822
N_148kg,2038,544.050079722862
N_148kg,2039,570.8581296613958
N_148kg,2040,596.4293687844659
N_148kg,2041,620.9644903199201
N_148kg,2042,644.61235674298
N_148kg,2043,667.4790465481626
N_148kg,2044,689.6559463541389
N_148kg,2045,711.2076622524811
N_148kg,2046,732.1896700443883
N_148kg,2047,752.6389358222483
N_148kg,2048,772.5923169192818
N_148kg,2049,792.0870776955171
N_148kg,2050,811.1593698696685
N_148kg,2051,829.8351739824639
N_148kg,2052,848.1440185494749
N_148kg,2053,866.1108243232247
N_148kg,2054,883.7667212997679
N_148kg,2055,901.1287625705744
N_148kg,2056,918.2160092575066
N_148kg,2057,935.0165381638748
N_148kg,2058,951.5244887469881
N_148kg,2059,967.7257074736617
N_148kg,2060,983.6372975788316
N_148kg,2061,999.2819957002149
N_148kg,2062,1014.6818824350171
N_148kg,2063,1029.858238232608
N_148kg,2064,1044.8243704637277
N_148kg,2065,1059.5820860412193
N_148kg,2066,1074.12806349495
N_148kg,2067,1088.4697667819357
N_148kg,2068,1102.6092403732578
N_148kg,2069,1116.560327280669
N_148kg,2070,1130.3439953158866
N_148kg,2071,1143.983732018631
N_148kg,2072,1157.4960263067787
N_148kg,2073,1170.90240597113
N_148kg,2074,1184.2199370710837
N_148kg,2075,1197.4402748416967
N_148kg,2076,1210.560056734492
N_148kg,2077,1223.5586725527987
N_148kg,2078,1236.440131407355
N_148kg,2079,1249.2108099925535
N_148kg,2080,1261.8867474423805
N_148kg,2081,1274.487722817698
N_148kg,2082,1287.0327407666682
N_148kg,2083,1299.519764910955
N_148kg,2084,1311.9625702798428
N_148kg,2085,1324.3607916130675
N_148kg,2086,1336.7175214698145
N_148kg,2087,1349.0293861585824
N_148kg,2088,1361.2966017441206
N_148kg,2089,1373.5041653038584
N_148kg,2090,1385.6506224311413
N_148kg,2091,1397.7379709476247
N_148kg,2092,1409.7543892748788
N_148kg,2093,1421.6871138269164
N_148kg,2094,1433.5146264603902
N_148kg,2095,1445.2302013128945
N_148kg,2096,1456.8291383195185
N_148kg,2097,1468.31259274637
N_148kg,2098,1479.6863083384667
N_148kg,2099,1490.9690101783822
N_148kg,2100,1502.192951485388
N_148kg,2101,1513.3744736652882
N_148kg,2102,1524.5248325454584
N_148kg,2103,1535.6606302591285
N_148kg,2104,1546.7914232436656
N_148kg,2105,1557.938368691534
N_148kg,2106,1569.110697091245
N_148kg,2107,1580.3107992863438
N_148kg,2108,1591.5238286315835
N_148kg,2109,1602.7164881810604
N_148kg,2110,1613.8809417393347
N_148kg,2111,1624.9872039786392
N_148kg,2112,1636.0437487826005
N_148kg,2113,1647.043479210363
N_148kg,2114,1658.00675324174
N_148kg,2115,1668.9510604168115
N_148kg,2116,1679.8801192946162
N_148kg,2117,1690.782080714451
N_148kg,2118,1701.661283885465
N_148kg,2119,1712.5351762876423
N_148kg,2120,1723.4185406580436
N_148kg,2121,1734.323280717218
N_148kg,2122,1745.2735581785869
N_148kg,2123,1756.2687647941789
N_148kg,2125,1767.3031770450827
N_260kg,2025,14.810287281251142
N_260kg,2026,15.055805960978105
N_260kg,2027,15.555584860097849
N_260kg,2028,16.21164781037738
N_260kg,2029,16.88981003676681
N_260kg,2030,17.598873121464415
N_260kg,2031,18.4375077756894
N_260kg,2032,19.493025596493364
N_260kg,2033,20.809835451161298
N_260kg,2034,22.375998582505332
N_260kg,2035,24.143095382749586
N_260kg,2036,26.056575166406244
N_260kg,2037,28.057683971775056
N_260kg,2038,30.102345876791794
N_260kg,2039,32.1520596994961
N_260kg,2040,34.185068662896654
N_260kg,2041,36.18388601148914
N_260kg,2042,38.14029049703845
N_260kg,2043,40.0436937218714
N_260kg,2044,41.88348870850852
N_260kg,2045,43.656167132563816
N_260kg,2046,45.360034790595584
N_260kg,2047,47.00227928368249
N_260kg,2048,48.58577261625853
N_260kg,2049,50.12030106091184
N_260kg,2050,51.61073862207024
N_260kg,2051,53.0573264195292
N_260kg,2052,54.46905958377804
N_260kg,2053,55.84359540302309
N_260kg,2054,57.18037293582836
N_260kg,2055,58.479851508153814
N_260kg,2056,59.75320106836404
N_260kg,2057,61.00197664883844
N_260kg,2058,62.22840982437609
N_260kg,2059,63.443910036643565
N_260kg,2060,64.63420991629584
N_260kg,2061,65.80174481726377
N_260kg,2062,66.94219150191176
N_260kg,2063,68.05955101170817
N_260kg,2064,69.14728040102044
N_260kg,2065,70.20843369644003
N_260kg,2066,71.24192030062373
N_260kg,2067,72.24670975563129
N_260kg,2068,73.2310860093604
N_260kg,2069,74.2022701449884
N_260kg,2070,75.17371494289493
N_260kg,2071,76.1481661745872
N_260kg,2072,77.12369499682598
N_260kg,2073,78.08698798855974
N_260kg,2074,79.03653113209833
N_260kg,2075,79.97253894072843
N_260kg,2076,80.88503835820784
N_260kg,2077,81.77823467020401
N_260kg,2078,82.642920754
N_260kg,2079,83.47931804905168
N_260kg,2080,84.28633851715553
N_260kg,2081,85.07094096332575
N_260kg,2082,85.83435038699142
N_260kg,2083,86.58228874990316
N_260kg,2084,87.32883398896087
N_260kg,2085,88.07160508769863
N_260kg,2086,88.81707757702588
N_260kg,2087,89.55635953016447
N_260kg,2088,90.28956539603524
N_260kg,2089,91.0111534137871
N_260kg,2090,91.72442407595945
N_260kg,2091,92.42102757892562
N_260kg,2092,93.10231653333285
N_260kg,2093,93.77345052517614
N_260kg,2094,94.43262108235912
N_260kg,2095,95.08251061922495
N_260kg,2096,95.72360360525671
N_260kg,2097,96.35778637708624
N_260kg,2098,96.97897979786738
N_260kg,2099,97.5776763728538
N_260kg,2100,98.15548080133672
N_260kg,2101,98.71622138962816
N_260kg,2102,99.26870788090422
N_260kg,2103,99.81597562868008
N_260kg,2104,100.36174651651078
N_260kg,2105,100.90264046135329
N_260kg,2106,101.43781755705427
N_260kg,2107,101.9609332485484
N_260kg,2108,102.46918306775372
N_260kg,2109,102.96778703681649
N_260kg,2110,103.46145604009578
N_260kg,2111,103.95456470517927
N_260kg,2112,104.45349372047842
N_260kg,2113,104.96362958480236
N_260kg,2114,105.49045269079289
N_260kg,2115,106.02905368916329
N_260kg,2116,106.57844015521798
N_260kg,2117,107.12959668319411
N_260kg,2118,107.680906032054
N_260kg,2119,108.22545375913026
N_260kg,2120,108.7671567284374
N_260kg,2121,109.2952426503687
N_260kg,2122,109.81167159178065
N_260kg,2123,110.32127743239822
N_260kg,2125,110.81905333687529
N_4kg,2025,93.65705636068834
N_4kg,2026,93.86223463915017
N_4kg,2027,94.01227205330804
N_4kg,2028,94.09323388903131
N_4kg,2029,94.08958735162626
N_4kg,2030,93.99094688610575
N_4kg,2031,93.80452362773045
N_4kg,2032,93.55436494775317
N_4kg,2033,93.2710777228186
N_4kg,2034,92.98308877165239
N_4kg,2035,92.7116333533107
N_4kg,2036,92.47007172274435
N_4kg,2037,92.26490258610878
N_4kg,2038,92.0974836322726
N_4kg,2039,91.96617664440423
N_4kg,2040,91.86791467028516
N_4kg,2041,91.79891211366133
N_4kg,2042,91.75497621893321
N_4kg,2043,91.73232795656943
N_4kg,2044,91.72795046094694
N_4kg,2045,91.73895520880498
N_4kg,2046,91.76299871491591
N_4kg,2047,91.79803725613303
N_4kg,2048,91.84236042089974
N_4kg,2049,91.89474450989927
N_4kg,2050,91.9541882341531
N_4kg,2051,92.019746289649
N_4kg,2052,92.0906555121305
N_4kg,2053,92.16635388406733
N_4kg,2054,92.24634748178217
N_4kg,2055,92.33024401203805
N_4kg,2056,92.41792609969914
N_4kg,2057,92.50918666727348
N_4kg,2058,92.60355955093397
N_4kg,2059,92.70115678624511
N_4kg,2060,92.80211788109652
N_4kg,2061,92.90655527045666
N_4kg,2062,93.01446693353807
N_4kg,2063,93.12569309610545
N_4kg,2064,93.24055307905758
N_4kg,2065,93.3590937816521
N_4kg,2066,93.4814228382578
N_4kg,2067,93.60786529559033
N_4kg,2068,93.73841694793916
N_4kg,2069,93.87315314438054
N_4kg,2070,94.01215247643627
N_4kg,2071,94.15548018532793
N_4kg,2072,94.30339720397382
N_4kg,2073,94.45601282413105
N_4kg,2074,94.61339705736995
N_4kg,2075,94.7757285937196
N_4kg,2076,94.9432672485754
N_4kg,2077,95.11613723006582
N_4kg,2078,95.29458839034828
N_4kg,2079,95.47862372297371
N_4kg,2080,95.66849763468699
N_4kg,2081,95.86435634365172
N_4kg,2082,96.06636447866491
N_4kg,2083,96.27476865922665
N_4kg,2084,96.4896254135739
N_4kg,2085,96.7111068919351
N_4kg,2086,96.93929891040305
N_4kg,2087,97.17448067175684
N_4kg,2088,97.41679568687532
N_4kg,2089,97.66631593643936
N_4kg,2090,97.92325429041993
N_4kg,2091,98.18781796157722
N_4kg,2092,98.46034419897653
N_4kg,2093,98.74092636537871
N_4kg,2094,99.02970465373298
N_4kg,2095,99.32671133616356
N_4kg,2096,99.63214846029705
N_4kg,2097,99.94625173994704
N_4kg,2098,100.26917457813848
N_4kg,2099,100.60117401375416
N_4kg,2100,100.94228571429576
N_4kg,2101,101.29275206683931
N_4kg,2102,101.6528261177483
N_4kg,2103,102.02254073186003
N_4kg,2104,102.40214478778076
N_4kg,2105,102.79197634260069
N_4kg,2106,103.19226254160563
N_4kg,2107,103.60320239144825
N_4kg,2108,104.02480919829856
N_4kg,2109,104.4573300976823
N_4kg,2110,104.90114354191795
N_4kg,2111,105.35646604552558
N_4kg,2112,105.82358875416531
